Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
Prithvi EVCS - GO EC,Kadavanthra,Kerala,9.947451633,76.30341556,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Prithvi EVCS - GO EC,Kadavanthra,Kerala,9.947451633,76.30341556,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
EC City Centre EVCS - GO EC,Ernakulam,Kerala,9.965194492,76.29662321,GO EC (IN),Public - Membership Required,CCS (Type 2),25
EC City Centre EVCS - GO EC,Ernakulam,Kerala,9.965194492,76.29662321,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Monsoon Empress Hotel EVCS,Palarivattom,Kerala,9.995959579,76.31410218,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Max EVCS - GO EC,Palarivattom,Kerala,9.998499334,76.31386096,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Park Residency EVCS - GO EC,Kakkanad,Kerala,10.01465881,76.3424006,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Park Residency EVCS - GO EC,Kakkanad,Kerala,10.01465881,76.3424006,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
EVGO Hub - GO EC,Thrikkakkara,Kerala,10.03567399,76.33644845,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Daffodils EVCS - GO EC,Edapally,Kerala,10.03211451,76.32296046,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Daffodils EVCS - GO EC,Edapally,Kerala,10.03211451,76.32296046,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Daffodils EVCS - GO EC,Edapally,Kerala,10.03211451,76.32296046,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Oberon Mall EVCS - GO EC,Edapally,Kerala,10.01437332,76.31253274,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,10.025853,76.30847988,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,10.025853,76.30847988,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,10.025853,76.30847988,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
EcoPlug EVCS - GO EC,Neriyamangalam,Kerala,10.05657909,76.77664747,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Future Clock EVCS - GO EC,Perumbavoor ,Kerala,10.08987328,76.49767034,GO EC (IN),Public - Membership Required,CCS (Type 2),80
Future Clock EVCS - GO EC,Perumbavoor ,Kerala,10.08987328,76.49767034,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Future Clock EVCS - GO EC,Perumbavoor ,Kerala,10.08987328,76.49767034,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Prestige EV Super Charging Station - GO EC,Perumbavoor,Kerala,10.11659967,76.44569941,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Prestige EV Super Charging Station - GO EC,Perumbavoor,Kerala,10.11659967,76.44569941,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Innate Convention Centre ,Aluva,Kerala,10.13484738,76.35454904,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Athani Energize EVCS,Athani,Kerala,10.14144398,76.35293383,GO EC (IN),Public - Membership Required,CCS (Type 2),80
Hotel Airlink Castle - GO EC,Athani,Kerala,10.15505346,76.35471453,GO EC (IN),Public - Membership Required,CCS (Type 2),24
V-Green EVCS - GO EC,Angamaly,Kerala,10.20178009,76.40966162,GO EC (IN),Public - Membership Required,CCS (Type 2),80
Gopika EV Charging Station - GO EC,Varappuzha,Kerala,10.0872915,76.26789063,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Power Zone EV Charging Station - GO EC,North Paravur,Kerala,10.14967303,76.21756419,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Koratty Chennai Anandabhavan EVCS - GO EC,Koratty,Kerala,10.27724459,76.34452808,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Parekkat's EVCS - GO EC,Mala,Kerala,10.24066912,76.27252885,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Kodungallur SVS - GO EC,Kodungallur,Kerala,10.21129205,76.19898867,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Kodungallur SVS - GO EC,Kodungallur,Kerala,10.21129205,76.19898867,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
FUZO EV Super Charging Station,Kodungallur,Kerala,10.37813516,76.12254539,GO EC (IN),Public - Membership Required,CCS (Type 2),60
FUZO EV Super Charging Station,Kodungallur,Kerala,10.37813516,76.12254539,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sree Rama EVCS - GO EC,Thrissur,Kerala,10.43559497,76.26587468,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Sree Rama EVCS - GO EC,Thrissur,Kerala,10.43559497,76.26587468,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Sree Rama EVCS - GO EC,Thrissur,Kerala,10.43559497,76.26587468,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Daiz and Co. EVCS - GO EC,Thrissur,Kerala,10.52614957,76.18795462,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Shobha City Mall EVCS - GO EC,Thrissur,Kerala,10.54894656,76.18304111,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Shobha City Mall EVCS - GO EC,Thrissur,Kerala,10.54894656,76.18304111,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Shobha City Mall EVCS - GO EC,Thrissur,Kerala,10.54894656,76.18304111,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Amala Smart EVCS - GO EC,Peramangalam,Kerala,10.56496749,76.16598426,GO EC (IN),Public - Membership Required,CCS (Type 2),80
Amala Smart EVCS - GO EC,Peramangalam,Kerala,10.56496749,76.16598426,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sree Sankara EVCS - GO EC,Vadanappalli,Kerala,10.4872912,76.07083612,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Green Drive EV Super Charging Station,Vadanappilly,Kerala,10.49454247,76.06584744,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Sree Krishna Hotel - GO EC,Guruvayoor,Kerala,10.59844782,76.03636789,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Palakkad Ahalia Women and Childern Hospital EVCS - GO EC,Elappully,Kerala,10.79730859,76.82754081,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Palakkad Ahalia Women and Childern Hospital EVCS - GO EC,Elappully,Kerala,10.79730859,76.82754081,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Palakkad Ahalia Eye Hospital EVCS - GO EC,Elappully,Kerala,10.79348727,76.82652951,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
